	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hoxa9	2.31826077536418e-129	1.52115741361355	0.801	0.284	4.9021942355851e-125
Kmt2a	1.30901529554369e-126	1.78469177121757	0.85	0.461	2.76804374395669e-122
Rnf220	2.14317915754295e-103	1.46143210880782	0.962	0.78	4.53196664654033e-99
Gm10260	1.58425324714476e-81	0.897493458425197	0.893	0.453	3.35006191641231e-77
Hmga2	2.44093183279084e-70	1.45218836541468	0.668	0.291	5.16159445361952e-66
Hoxa10	1.56142078614747e-52	0.489009196843144	0.347	0.061	3.30178039438743e-48
Rnase6	4.81234518740095e-51	-0.862797954962428	0.681	0.883	1.01761851332781e-46
Bahcc1	8.72834001576652e-51	0.618020902342798	0.485	0.164	1.84569477973399e-46
Psap	1.94117867817695e-49	-0.796771995421834	0.91	0.974	4.10481643287297e-45
Sox4	1.27520530260244e-48	0.82263329127662	0.797	0.522	2.69654913288313e-44
Cst3	2.61250774726024e-46	-0.960907963075214	0.954	0.96	5.5244088823565e-42
Irf8	1.28752378101234e-45	-0.793260554603617	0.701	0.91	2.72259778732869e-41
BC018473	2.25533872933767e-45	0.555546955141249	0.256	0.028	4.76913927705743e-41
Ly6e	2.0776608167637e-44	-0.650052618348875	0.923	0.968	4.39342156312853e-40
Rnd3	2.85554027122853e-44	-0.864351980418939	0.348	0.657	6.03832545753985e-40
Ctsh	7.55866657900097e-44	-0.775141979025207	0.618	0.869	1.59835563479555e-39
Cybb	1.01981054233067e-42	-0.845534495166284	0.524	0.783	2.15649137281245e-38
Lair1	8.2073243957226e-40	-0.785615447076272	0.425	0.708	1.7355208167195e-35
Kmo	8.71269726039854e-40	-0.69931078934298	0.429	0.71	1.84238696268388e-35
Ly86	4.9888600561457e-39	-0.61016460445598	0.701	0.917	1.05494434747257e-34
Siglech	1.72383593494422e-38	-0.831771566392	0.588	0.842	3.64522346803304e-34
Plekhm3	7.94630630127772e-38	-0.762768544520959	0.573	0.791	1.68032593046819e-33
Hoxa7	1.32944953914027e-37	0.665442004401672	0.649	0.378	2.81125399546601e-33
Ctss	3.12726342620886e-37	-0.657145553763685	0.673	0.88	6.61291124106125e-33
Cd300c	4.99304462248133e-37	-0.833856418131219	0.205	0.485	1.0558292158699e-32
Mpeg1	5.92504905995174e-37	-0.760859597407491	0.6	0.834	1.25291087421739e-32
Angpt1	1.03796972040612e-35	1.30659501692685	0.405	0.156	2.19489077077079e-31
Blnk	2.54878474093612e-35	-0.817423802639932	0.412	0.695	5.38966021318351e-31
Bst2	8.55008594690371e-35	-0.801405670449451	0.89	0.936	1.80800117433226e-30
Serinc3	3.57363804174267e-34	-0.525187569391738	0.778	0.895	7.55681500306904e-30
Tmsb4x	3.61554314939564e-34	-0.544367728945041	0.991	0.988	7.64542754371203e-30
Ifnar2	3.97224045107789e-34	-0.555803309677227	0.891	0.939	8.39969965784931e-30
Selplg	5.97742423190875e-34	-0.619466766236461	0.777	0.89	1.26398612807942e-29
Card11	1.59970538108695e-33	-0.792233160376357	0.367	0.62	3.38273699884646e-29
Cytip	2.21362558890372e-33	-0.639814363857283	0.733	0.864	4.6809326702958e-29
Dok2	1.12138519221977e-32	0.505435925455197	0.402	0.156	2.37128112746792e-28
Ly6d	9.67300123682368e-32	-1.08706452585277	0.534	0.739	2.04545284153874e-27
Tyrobp	2.99542220265242e-31	-0.674287489972848	0.864	0.953	6.3341197897288e-27
Upb1	4.31098312044168e-30	-0.66831504783687	0.366	0.612	9.11600490648598e-26
Lsp1	2.45960979672112e-29	-0.471130929251167	0.963	0.973	5.20109087614649e-25
