	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rnf220	7.76490578618477e-57	-1.12742606100041	0.68	0.894	1.62457358858558e-52
Gm10260	1.77016321547859e-34	-0.592794308021062	0.161	0.472	3.70353547942431e-30
Eps8	1.29337064491298e-27	-0.4839504969762	0.064	0.275	2.70599006328694e-23
Mbnl1	2.10583958145807e-25	-0.544513137180886	0.983	0.994	4.40583757232658e-21
H2-D1	4.95639262842446e-22	0.391746860570682	0.965	0.934	1.03697646571896e-17
B2m	6.10293017096448e-21	0.367309487485754	0.959	0.929	1.27685505036919e-16
Cacna1e	2.38653652588168e-20	0.677256721381247	0.62	0.409	4.99311171944965e-16
H2-Q7	3.63256654016534e-20	0.634129184333289	0.458	0.252	7.60005571533393e-16
Kmt2a	6.48858390822339e-19	-0.869530096195529	0.384	0.565	1.3575415252785e-14
Bst2	1.10907014643394e-18	0.35655271998134	0.958	0.935	2.32039656036908e-14
Ppp1r9b	1.46583533857661e-17	-0.485627999616596	0.2	0.384	3.06682069536999e-13
Cox6a2	3.98948159499382e-16	0.57064960332102	0.83	0.681	8.34679339304608e-12
Ly6c2	1.947679642075e-15	0.743920383912809	0.621	0.447	4.07493534714931e-11
Slc29a3	3.7302016332455e-14	-0.461433462132123	0.525	0.681	7.80432785707624e-10
Sox4	9.22692580356898e-14	-0.480279949023978	0.43	0.586	1.9304574166227e-09
Ccr9	3.61921146043297e-13	0.462971470351701	0.749	0.607	7.57211421751786e-09
Fth1	1.78794235783803e-12	0.279097590714055	0.973	0.969	3.74073300106872e-08
Cfp	2.18739884770581e-12	-0.43835898795555	0.402	0.573	4.57647586917009e-08
Smim5	2.56629879694467e-12	0.439490753102489	0.738	0.604	5.36921034296764e-08
Ly6d	2.78897294032149e-12	0.549242211410196	0.873	0.757	5.83508918574063e-08
Cxcr3	2.85685949307683e-12	0.417581646961818	0.334	0.183	5.97712143141535e-08
Il7r	3.35396491455001e-12	0.470248672358553	0.73	0.63	7.01716539422154e-08
Dnajc7	9.30028817330550e-12	0.316021598763601	0.924	0.878	1.94580629161898e-07
Klf2	1.00912668485623e-11	0.497738169641408	0.762	0.68	2.11129485005619e-07
P2ry14	1.66049278520752e-11	0.388200590280084	0.569	0.409	3.47408300521118e-07
Dpp4	1.84991565550818e-11	-0.430549234678731	0.37	0.53	3.87039353445422e-07
Hoxa9	2.96113686034298e-11	-0.422530610696597	0.151	0.287	6.19529053920959e-07
Iglc3	4.36481929361332e-11	0.54996291746646	0.401	0.246	9.13207492609779e-07
Ctsb	4.61132398538578e-11	0.278636419630934	0.938	0.911	9.64781204222413e-07
Siglech	1.014066491791e-10	0.29329833541528	0.973	0.953	2.12162991412513e-06
1810026B05Rik	1.78035375238595e-10	-0.372860815433906	0.575	0.699	3.72485612074188e-06
Klk1	2.07396561403974e-10	0.695856661578137	0.498	0.364	4.33915085769394e-06
H2-Eb1	4.70724293041915e-10	0.638442483554137	0.388	0.253	9.84849365902295e-06
Mpeg1	7.68148175879926e-10	0.278998350205232	0.929	0.886	1.60711961357598e-05
Lair1	7.94159619571162e-10	0.340333022897493	0.844	0.748	1.66154075606679e-05
Fyb2	1.1374087356658e-09	0.452232779554768	0.398	0.263	2.37968655675999e-05
Gm47283	1.22982818469059e-09	-0.540381303807203	0.474	0.62	2.57304652800965e-05
