	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hoxa9	2.31826077536418e-129	-1.52115741361355	0.284	0.801	4.9021942355851e-125
Kmt2a	1.30901529554369e-126	-1.78469177121757	0.461	0.85	2.76804374395669e-122
Rnf220	2.14317915754295e-103	-1.46143210880782	0.78	0.962	4.53196664654033e-99
Gm10260	1.58425324714476e-81	-0.897493458425197	0.453	0.893	3.35006191641231e-77
Hmga2	2.44093183279084e-70	-1.45218836541468	0.291	0.668	5.16159445361952e-66
Hoxa10	1.56142078614747e-52	-0.489009196843144	0.061	0.347	3.30178039438743e-48
Rnase6	4.81234518740095e-51	0.862797954962428	0.883	0.681	1.01761851332781e-46
Bahcc1	8.72834001576652e-51	-0.618020902342798	0.164	0.485	1.84569477973399e-46
Psap	1.94117867817695e-49	0.796771995421834	0.974	0.91	4.10481643287297e-45
Sox4	1.27520530260244e-48	-0.82263329127662	0.522	0.797	2.69654913288313e-44
Cst3	2.61250774726024e-46	0.960907963075214	0.96	0.954	5.5244088823565e-42
Irf8	1.28752378101234e-45	0.793260554603617	0.91	0.701	2.72259778732869e-41
BC018473	2.25533872933767e-45	-0.555546955141249	0.028	0.256	4.76913927705743e-41
Ly6e	2.0776608167637e-44	0.650052618348875	0.968	0.923	4.39342156312853e-40
Rnd3	2.85554027122853e-44	0.864351980418939	0.657	0.348	6.03832545753985e-40
Ctsh	7.55866657900097e-44	0.775141979025207	0.869	0.618	1.59835563479555e-39
Cybb	1.01981054233067e-42	0.845534495166284	0.783	0.524	2.15649137281245e-38
Lair1	8.2073243957226e-40	0.785615447076272	0.708	0.425	1.7355208167195e-35
Kmo	8.71269726039854e-40	0.69931078934298	0.71	0.429	1.84238696268388e-35
Ly86	4.9888600561457e-39	0.61016460445598	0.917	0.701	1.05494434747257e-34
Siglech	1.72383593494422e-38	0.831771566392	0.842	0.588	3.64522346803304e-34
Plekhm3	7.94630630127772e-38	0.762768544520959	0.791	0.573	1.68032593046819e-33
Hoxa7	1.32944953914027e-37	-0.665442004401672	0.378	0.649	2.81125399546601e-33
Ctss	3.12726342620886e-37	0.657145553763685	0.88	0.673	6.61291124106125e-33
Cd300c	4.99304462248133e-37	0.833856418131219	0.485	0.205	1.0558292158699e-32
Mpeg1	5.92504905995174e-37	0.760859597407491	0.834	0.6	1.25291087421739e-32
Angpt1	1.03796972040612e-35	-1.30659501692685	0.156	0.405	2.19489077077079e-31
Blnk	2.54878474093612e-35	0.817423802639932	0.695	0.412	5.38966021318351e-31
Bst2	8.55008594690371e-35	0.801405670449451	0.936	0.89	1.80800117433226e-30
Serinc3	3.57363804174267e-34	0.525187569391738	0.895	0.778	7.55681500306904e-30
Tmsb4x	3.61554314939564e-34	0.544367728945041	0.988	0.991	7.64542754371203e-30
Ifnar2	3.97224045107789e-34	0.555803309677227	0.939	0.891	8.39969965784931e-30
Selplg	5.97742423190875e-34	0.619466766236461	0.89	0.777	1.26398612807942e-29
Card11	1.59970538108695e-33	0.792233160376357	0.62	0.367	3.38273699884646e-29
Cytip	2.21362558890372e-33	0.639814363857283	0.864	0.733	4.6809326702958e-29
Dok2	1.12138519221977e-32	-0.505435925455197	0.156	0.402	2.37128112746792e-28
Ly6d	9.67300123682368e-32	1.08706452585277	0.739	0.534	2.04545284153874e-27
Tyrobp	2.99542220265242e-31	0.674287489972848	0.953	0.864	6.3341197897288e-27
Upb1	4.31098312044168e-30	0.66831504783687	0.612	0.366	9.11600490648598e-26
Lsp1	2.45960979672112e-29	0.471130929251167	0.973	0.963	5.20109087614649e-25
Pcdh7	2.78751872007611e-29	-1.26105847888273	0.074	0.265	5.89448708547294e-25
Erg	4.15744546468186e-29	-0.622040982492262	0.161	0.385	8.79133417961625e-25
Gm11361	5.51931004594928e-29	-0.350185653492656	0.229	0.488	1.16711330231644e-24
Cyb561a3	1.10070665287501e-28	0.551432544837719	0.758	0.569	2.3275542881695e-24
Unc93b1	1.64675032871733e-28	0.471756717085	0.917	0.799	3.48221824510566e-24
Hdac9	1.74991196115084e-28	0.901086361452855	0.697	0.493	3.70036383304957e-24
Kctd12	1.75901440161851e-28	0.581776822024996	0.818	0.633	3.71961185366249e-24
Ctsb	2.7869329664467e-28	0.603723558297118	0.915	0.797	5.8932484508482e-24
Rell1	3.31391953849425e-28	0.670370810630278	0.753	0.579	7.00761425609995e-24
Meis1	4.52732758534281e-28	-1.06245785966029	0.281	0.504	9.5734869119659e-24
Arhgap17	5.66736027750119e-28	0.526582500691726	0.91	0.819	1.1984200042804e-23
Bank1	7.91059006051319e-28	-0.544143589879061	0.069	0.254	1.67277337419612e-23
Atp1b1	1.4789530877911e-27	0.553900597922219	0.855	0.61	3.12739419944307e-23
Nrip1	1.52726475023747e-27	-0.588036616171887	0.492	0.725	3.22955404085214e-23
Nptn	3.36002325082543e-27	0.496151669634473	0.888	0.744	7.10510516619545e-23
Il9r	3.51463445727926e-27	-0.33061112588172	0.045	0.212	7.43204602336272e-23
Ctsl	5.19693494880784e-27	0.675664384452715	0.894	0.789	1.09894386427491e-22
Pld4	5.85783595392473e-27	0.528678431199603	0.868	0.679	1.23869799081692e-22
Hlf	6.11950305716607e-27	-0.879649226669278	0.104	0.299	1.29403011646834e-22
Nrp1	2.49116331914387e-26	0.541385130516696	0.644	0.408	5.26781395466162e-22
Marcksl1	6.20130669934084e-26	-0.525296740765093	0.327	0.552	1.31132831464261e-21
Satb1	7.07284461494593e-26	-0.650184186376401	0.669	0.818	1.49562372227647e-21
Il2rg	2.13882553506775e-25	-0.360187401642193	0.186	0.414	4.52276047645426e-21
Man1a	2.36675383727501e-25	-0.750267421805707	0.325	0.544	5.00473766430174e-21
Cd81	2.53480156426237e-25	-0.736304567473206	0.3	0.508	5.36009138778921e-21
Adgrl4	3.36854674367899e-25	-1.13996062160199	0.223	0.425	7.1231289441836e-21
Gng2	4.02921419069532e-25	0.485676507597006	0.867	0.802	8.52017632764432e-21
